id,start date,type,district,locality,address,Filter the word Street,Latitude,Longitude,Validate Geolocation
105,15.1.2016,infrastructure,ILINDEN,VALCHO IVANOV - SEVER,street PLOVDIV 20,street,42.7115401,23.295978,Pass
144,14.3.2016,infrastructure,ILINDEN,ZAHARNA FABRIKA,street KUKUSH 2; ZAHARNA FABRIKA,street,42.7159386,23.2858137,Pass
163,29.3.2016,non-residential,ILINDEN,RAZSADNIKA - BEZHANTSI,street SLIVNITSA 127,street,42.8519742,23.0378716,Pass
219,12.5.2016,non-residential,ILINDEN,VALCHO IVANOV - SEVER,,,42.712778,23.29,Pass
235,20.5.2016,non-residential,ILINDEN,ZONA V-17,street SLIVNITSA 45,street,42.8519742,23.0378716,Pass
408,09.9.2016,infrastructure,ILINDEN,GEVGELIYSKI KVARTAL,,,42.7087558,23.2817702,Pass
106,15.1.2016,non-residential,SREDETS,,street G. S. RAKOVSKI 151,street,42.691507,23.323151,FIXED
439,30.9.2016,infrastructure,ILINDEN,VALCHO IVANOV - SEVER,SVETA TROITSA; block  174,SVETA,42.7101144,23.2944535,Pass
440,30.9.2016,infrastructure,ILINDEN,VALCHO IVANOV - SEVER,SVETA TROITSA; block  353,SVETA,42.7124292,23.2963978,Pass
216,12.5.2016,big housing,IZGREV,IZTOK-IZTOK,street F. ZH. KYURI 11,street,42.6730385,23.3521317,FIXED
483,27.10.2016,big housing,ILINDEN,ZONA V-17,street GEN. NIKOLAY G. STOLETOV 12,street,41.9881663,21.642224,Pass
103,13.1.2016,infrastructure,ISKAR,NADEZHDA 2A 2B,,,42.7325,23.298611,Pass
132,01.3.2016,non-residential,ISKAR,ISKAR-SEVER 2,street ISKARSKO SHOSE,street,42.6685098,23.4020947,Pass
171,07.4.2016,big housing,ISKAR,ISKAR-YUG,,,42.662778,23.418611,Pass
242,27.5.2016,non-residential,ISKAR,DRUZHBA 1,,,42.669322,23.3920097,Pass
244,30.5.2016,non-residential,ISKAR,ISKAR-SEVER,,,43.1684489,23.9018279,Pass
249,02.6.2016,infrastructure,ISKAR,,street OBIKOLNA; DRUZHBA 2,street,42.6471795,23.4044564,Pass
294,01.7.2016,infrastructure,ISKAR,TSARIGRADSKO SHOSE 7-MI - 11-TI KM,,,42.6517985,23.3917943,Pass
331,28.7.2016,non-residential,ISKAR,DRUZHBA 2,,,42.6465295,23.4058897,Pass
374,22.8.2016,non-residential,ISKAR,ISKAR-SEVER 1,street 5007,street,42.6652065,23.4133158,Pass
396,31.8.2016,small housing,ISKAR,DRUZHBA,,,42.6644546,23.4010775,Pass
232,18.5.2016,infrastructure,LOZENETS,LOZENETS 3,,,42.6757759,23.3212093,FIXED
257,07.6.2016,small housing,OVCHA KUPEL,GORNA BANYA,street 754,street,42.6802258,23.2293984,FIXED
453,11.10.2016,non-residential,ISKAR,ISKAR-YUG,,,42.662778,23.418611,Pass
463,13.10.2016,infrastructure,ISKAR,ISKAR-SEVER,,,43.1684489,23.9018279,Pass
469,19.10.2016,infrastructure,ISKAR,ISKAR-SEVER,,,43.1684489,23.9018279,Pass
470,19.10.2016,non-residential,ISKAR,GARA ISKAR,,,42.662778,23.418611,Pass
481,26.10.2016,non-residential,ISKAR,GARA ISKAR,street DIMITAR PESHEV 4,street,42.655909,23.414748,Pass
