Date,HGHT(m),TEMP(C)
 2016-11-01,       595,       9.6
 2016-11-01,       663,       7.6
 2016-11-01,       844,       5.4
 2016-11-01,      1047,       3.6
 2016-11-01,      1284,       1.5
 2016-11-01,      1527,      -0.7
 2016-11-01,      1602,      -1.4
 2016-11-01,      1764,        -3
 2016-11-01,      1823,      -3.5
 2016-11-01,      2008,      -4.2
 2016-11-01,      2137,      -4.7
 2016-11-01,      2537,      -5.5
 2016-11-01,      2643,      -5.7
 2016-11-01,      2782,      -6.3
 2016-11-01,      2814,      -5.7
 2016-11-01,      3057,      -5.1
 2016-11-01,      3227,      -4.7
 2016-11-01,      3250,      -4.7
 2016-11-01,      3750,      -3.9
 2016-11-01,      4049,      -6.2
 2016-11-01,      4412,      -8.9
 2016-11-01,      5264,     -14.5
 2016-11-01,      5660,     -17.9
 2016-11-01,      5932,     -20.3
 2016-11-01,      6165,     -22.1
 2016-11-01,      7191,     -30.4
 2016-11-01,      7280,     -31.1
 2016-11-01,      7477,     -32.7
 2016-11-01,      9228,     -48.1
 2016-11-01,      9250,     -48.3
 2016-11-01,      9294,     -48.7
 2016-11-01,     10329,     -56.1
 2016-11-01,     10430,     -56.5
 2016-11-01,     11223,     -61.8
 2016-11-01,     11424,     -63.1
 2016-11-01,     11453,     -63.3
 2016-11-01,     11511,     -63.4
 2016-11-01,     11628,     -63.7
 2016-11-01,     11779,     -59.9
 2016-11-01,     11810,     -59.7
 2016-11-01,     12034,     -57.3
 2016-11-01,     12067,     -57.3
 2016-11-01,     12336,     -56.9
 2016-11-01,     12440,     -56.8
 2016-11-01,     12476,     -56.7
 2016-11-01,     13382,     -57.2
 2016-11-01,     13588,     -57.3
 2016-11-01,     13630,     -57.3
 2016-11-01,     14331,     -58.9
 2016-11-01,     15336,     -61.2
 2016-11-01,     16150,     -63.1
 2016-11-01,     17069,     -62.2
 2016-11-01,     17374,     -61.9
 2016-11-01,     17983,     -61.3
 2016-11-01,     18288,       -61
 2016-11-01,     18350,     -60.9
 2016-11-01,     18593,     -61.1
 2016-11-01,     19202,     -61.6
 2016-11-01,     19507,     -61.9
 2016-11-01,     19812,     -62.2
 2016-11-01,     20117,     -62.4
 2016-11-01,     20420,     -62.7
 2016-11-02,       595,      12.6
 2016-11-02,       604,        11
 2016-11-02,       802,         9
 2016-11-02,       928,         8
 2016-11-02,      1020,       9.5
 2016-11-02,      1047,        10
 2016-11-02,      1254,        10
 2016-11-02,      1503,       7.6
 2016-11-02,      1600,       6.7
 2016-11-02,      1897,       3.8
 2016-11-02,      2029,       3.2
 2016-11-02,      2245,       2.2
 2016-11-02,      2308,       3.6
 2016-11-02,      2663,       2.2
 2016-11-02,      3076,      -1.3
 2016-11-02,      3122,      -1.5
 2016-11-02,      3471,        -4
 2016-11-02,      3483,      -4.1
 2016-11-02,      3896,      -5.9
 2016-11-02,      3908,        -6
 2016-11-02,      5133,     -13.8
 2016-11-02,      5680,     -17.3
 2016-11-02,      5710,     -17.5
 2016-11-02,      6557,     -23.3
 2016-11-02,      6639,       -24
 2016-11-02,      6756,     -24.9
 2016-11-02,      6908,     -25.1
 2016-11-02,      7204,     -27.7
 2016-11-02,      7257,     -28.2
 2016-11-02,      7310,     -28.7
 2016-11-02,      8388,       -38
 2016-11-02,      8512,     -39.1
 2016-11-02,      8655,     -39.9
 2016-11-02,      8907,     -41.7
 2016-11-02,      9145,     -43.5
 2016-11-02,      9300,     -44.7
 2016-11-02,     10121,     -50.5
 2016-11-02,     10221,     -50.9
 2016-11-02,     10500,     -53.1
 2016-11-02,     10996,       -57
 2016-11-02,     11900,     -64.1
 2016-11-02,     12211,     -66.5
 2016-11-02,     12536,     -67.9
 2016-11-02,     12671,     -64.5
 2016-11-02,     12884,       -64
 2016-11-02,     13332,     -62.9
 2016-11-02,     13650,     -62.1
 2016-11-02,     13776,     -61.2
 2016-11-02,     13904,     -60.3
 2016-11-02,     13991,     -59.7
 2016-11-02,     14079,     -60.1
 2016-11-02,     14396,     -61.5
 2016-11-02,     14830,     -63.5
 2016-11-02,     15189,     -65.1
 2016-11-02,     15294,       -65
 2016-11-02,     15456,     -64.8
 2016-11-02,     15910,     -64.2
 2016-11-02,     16150,     -63.9
 2016-11-02,     16459,       -64
 2016-11-02,     16764,       -64
 2016-11-02,     17374,     -64.1
 2016-11-02,     17983,     -64.2
 2016-11-02,     18288,     -64.3
 2016-11-02,     18340,     -64.3
 2016-11-02,     18593,     -64.2
 2016-11-02,     19202,     -64.1
 2016-11-02,     19507,     -64.1
 2016-11-02,     20117,       -64
 2016-11-02,     20410,     -63.9
 2016-11-02,     20422,     -63.9
 2016-11-02,     20726,     -63.4
 2016-11-02,     21031,     -62.8
 2016-11-02,     21336,     -62.3
 2016-11-02,     21641,     -61.8
 2016-11-02,     21946,     -61.3
 2016-11-02,     22250,     -60.8
 2016-11-02,     22555,     -60.2
 2016-11-02,     22860,     -59.7
 2016-11-02,     23470,     -58.7
 2016-11-02,     23570,     -58.5
 2016-11-03,       595,      13.2
 2016-11-03,       785,        11
 2016-11-03,      1313,         8
 2016-11-03,      1487,         7
 2016-11-03,      2480,      -0.9
 2016-11-03,      2523,      -1.2
 2016-11-03,      2915,      -3.7
 2016-11-03,      3038,      -4.6
 2016-11-03,      3049,      -4.7
 2016-11-03,      3323,      -6.5
 2016-11-03,      3381,      -6.6
 2016-11-03,      3522,      -6.9
 2016-11-03,      3678,      -5.7
 2016-11-03,      3801,      -6.1
 2016-11-03,      3999,      -7.7
 2016-11-03,      4306,     -10.1
 2016-11-03,      4358,      -9.3
 2016-11-03,      4436,      -9.5
 2016-11-03,      4717,     -12.1
 2016-11-03,      5625,     -19.1
 2016-11-03,      5640,     -19.1
 2016-11-03,      5987,     -21.9
 2016-11-03,      6573,     -26.9
 2016-11-03,      6836,     -28.8
 2016-11-03,      7250,     -31.9
 2016-11-03,      7466,     -33.5
 2016-11-03,      9030,     -45.4
 2016-11-03,      9120,     -46.1
 2016-11-03,      9186,     -46.7
 2016-11-03,      9230,     -46.7
 2016-11-03,      9252,     -46.7
 2016-11-03,      9297,     -46.9
 2016-11-03,      9319,     -47.1
 2016-11-03,      9386,     -47.3
 2016-11-03,      9454,     -47.5
 2016-11-03,     10420,     -53.9
 2016-11-03,     10497,     -54.5
 2016-11-03,     11061,     -59.1
 2016-11-03,     11315,     -60.7
 2016-11-03,     11697,     -62.8
 2016-11-03,     11820,     -63.5
 2016-11-03,     12069,     -64.9
 2016-11-03,     12599,     -64.3
 2016-11-03,     12997,     -59.5
 2016-11-03,     13590,     -60.5
 2016-11-03,     15236,     -63.5
 2016-11-03,     16100,     -61.5
 2016-11-03,     16764,     -61.4
 2016-11-03,     17069,     -61.3
 2016-11-03,     17374,     -61.3
 2016-11-03,     17678,     -61.2
 2016-11-03,     17983,     -61.2
 2016-11-03,     18288,     -61.1
 2016-11-03,     18310,     -61.1
 2016-11-03,     18593,     -60.9
 2016-11-03,     18898,     -60.8
 2016-11-03,     19202,     -60.6
 2016-11-03,     19507,     -60.4
 2016-11-03,     20117,     -60.1
 2016-11-03,     20390,     -59.9
 2016-11-03,     20422,     -59.9
 2016-11-03,     21031,     -59.6
 2016-11-03,     21336,     -59.5
 2016-11-03,     21641,     -59.4
 2016-11-03,     21946,     -59.2
 2016-11-03,     22250,     -59.1
 2016-11-03,     22555,       -59
 2016-11-03,     22860,     -58.8
 2016-11-03,     23165,     -58.7
 2016-11-03,     23470,     -58.5
 2016-11-03,     23590,     -58.5
 2016-11-04,       595,       9.4
 2016-11-04,       612,       7.4
 2016-11-04,       837,       5.2
 2016-11-04,      1196,       2.4
 2016-11-04,      1326,       3.2
 2016-11-04,      1524,       4.4
 2016-11-04,      1534,       4.4
 2016-11-04,      1659,       3.4
 2016-11-04,      2025,       0.6
 2016-11-04,      2353,      -0.7
 2016-11-04,      2511,      -1.3
 2016-11-04,      2834,      -3.1
 2016-11-04,      2901,      -3.1
 2016-11-04,      2967,      -3.7
 2016-11-04,      3079,      -4.3
 2016-11-04,      3113,      -4.7
 2016-11-04,      3215,      -5.4
 2016-11-04,      3295,      -5.9
 2016-11-04,      3505,      -7.1
 2016-11-04,      3647,      -6.3
 2016-11-04,      3793,      -5.7
 2016-11-04,      4042,      -6.3
 2016-11-04,      4130,        -7
 2016-11-04,      4898,     -13.1
 2016-11-04,      4925,     -13.3
 2016-11-04,      5119,     -14.9
 2016-11-04,      5655,     -19.3
 2016-11-04,      5670,     -19.5
 2016-11-04,      5881,     -20.9
 2016-11-04,      7290,     -32.1
 2016-11-04,      9004,     -47.3
 2016-11-04,      9110,       -48
 2016-11-04,      9240,     -48.9
 2016-11-04,      9262,     -49.1
 2016-11-04,      9687,     -52.6
 2016-11-04,      9922,     -54.5
 2016-11-04,     10261,     -57.3
 2016-11-04,     10410,     -58.5
 2016-11-04,     10955,     -62.9
 2016-11-04,     10982,     -63.1
 2016-11-04,     11759,     -61.4
 2016-11-04,     11790,     -61.3
 2016-11-04,     11979,     -61.1
 2016-11-04,     12175,     -60.9
 2016-11-04,     12445,     -60.6
 2016-11-04,     12874,     -60.2
 2016-11-04,     13375,     -59.7
 2016-11-04,     13580,     -59.9
 2016-11-04,     15333,     -62.1
 2016-11-04,     15614,     -62.5
 2016-11-04,     16090,     -63.1
 2016-11-04,     17069,     -61.2
 2016-11-04,     17374,     -60.6
 2016-11-04,     17983,     -59.4
 2016-11-04,     18288,     -58.7
 2016-11-04,     18310,     -58.7
 2016-11-04,     18593,     -59.6
 2016-11-04,     18898,     -60.6
 2016-11-04,     19202,     -61.5
 2016-11-04,     19259,     -61.7
 2016-11-04,     19507,     -61.4
 2016-11-04,     19812,     -60.9
 2016-11-04,     20117,     -60.5
 2016-11-04,     20400,     -60.1
 2016-11-04,     20422,     -60.1
 2016-11-04,     20726,     -59.8
 2016-11-04,     21031,     -59.5
 2016-11-04,     21336,     -59.2
 2016-11-04,     22250,     -58.3
 2016-11-04,     22555,       -58
 2016-11-04,     23165,     -57.4
 2016-11-04,     23620,     -56.9
 2016-11-05,       595,      12.8
 2016-11-05,       817,       9.4
 2016-11-05,       889,       8.8
 2016-11-05,       971,      10.2
 2016-11-05,      1129,        10
 2016-11-05,      1279,       8.7
 2016-11-05,      1500,       6.8
 2016-11-05,      1519,       6.6
 2016-11-05,      1672,       5.3
 2016-11-05,      2475,      -1.2
 2016-11-05,      2659,      -2.7
 2016-11-05,      2745,      -1.9
 2016-11-05,      2866,      -2.3
 2016-11-05,      3055,      -2.9
 2016-11-05,      3078,      -2.9
 2016-11-05,      3101,      -3.1
 2016-11-05,      3307,      -4.9
 2016-11-05,      3388,      -5.1
 2016-11-05,      3637,      -3.3
 2016-11-05,      4314,      -7.9
 2016-11-05,      4524,      -9.5
 2016-11-05,      4657,     -10.4
 2016-11-05,      5198,     -13.9
 2016-11-05,      5680,     -17.3
 2016-11-05,      5892,     -18.5
 2016-11-05,      6510,     -24.1
 2016-11-05,      6842,     -26.7
 2016-11-05,      7257,     -29.9
 2016-11-05,      7310,     -30.3
 2016-11-05,      8301,     -39.1
 2016-11-05,      8518,       -41
 2016-11-05,      9236,     -47.1
 2016-11-05,      9280,     -47.5
 2016-11-05,      9757,     -51.7
 2016-11-05,     10258,     -56.4
 2016-11-05,     10460,     -58.3
 2016-11-05,     10561,     -59.5
 2016-11-05,     11219,     -64.5
 2016-11-05,     11474,     -66.5
 2016-11-05,     11738,     -62.3
 2016-11-05,     11830,     -62.1
 2016-11-05,     12084,     -60.8
 2016-11-05,     12556,     -58.5
 2016-11-05,     13630,     -59.1
 2016-11-05,     13926,     -59.9
 2016-11-05,     14329,       -61
 2016-11-05,     14614,     -61.8
 2016-11-05,     14810,     -62.3
 2016-11-05,     15118,     -63.1
 2016-11-05,     15332,     -63.7
 2016-11-05,     15667,     -64.6
 2016-11-05,     15783,     -64.9
 2016-11-05,     16140,     -64.1
 2016-11-05,     16459,     -63.9
 2016-11-05,     16764,     -63.6
 2016-11-05,     17069,     -63.4
 2016-11-05,     17374,     -63.2
 2016-11-05,     17678,       -63
 2016-11-05,     17983,     -62.8
 2016-11-05,     18288,     -62.5
 2016-11-05,     18320,     -62.5
 2016-11-05,     18593,     -62.3
 2016-11-05,     18898,     -62.1
 2016-11-05,     19202,     -61.8
 2016-11-05,     19812,     -61.4
 2016-11-05,     20400,     -60.9
 2016-11-06,       595,      14.2
 2016-11-06,       747,      12.6
 2016-11-06,       756,      12.6
 2016-11-06,       802,      13.4
 2016-11-06,      1280,      11.4
 2016-11-06,      1426,      10.8
 2016-11-06,      1465,      11.6
 2016-11-06,      1495,      11.6
 2016-11-06,      1534,      11.6
 2016-11-06,      1959,       9.6
 2016-11-06,      2752,       4.1
 2016-11-06,      3061,         2
 2016-11-06,      3426,      -0.3
 2016-11-06,      3438,      -0.4
 2016-11-06,      4042,      -5.6
 2016-11-06,      4081,      -5.9
 2016-11-06,      4351,      -7.2
 2016-11-06,      4632,      -8.5
 2016-11-06,      4700,      -8.1
 2016-11-06,      5087,     -11.4
 2016-11-06,      5690,     -16.5
 2016-11-06,      6041,     -19.5
 2016-11-06,      6568,     -23.9
 2016-11-06,      6902,     -25.7
 2016-11-06,      7320,     -29.5
 2016-11-06,      7464,     -30.7
 2016-11-06,      8181,     -35.9
 2016-11-06,      8460,     -37.7
 2016-11-06,      9287,     -44.9
 2016-11-06,      9310,     -45.1
 2016-11-06,      9332,     -45.1
 2016-11-06,      9377,     -45.1
 2016-11-06,      9558,     -46.5
 2016-11-06,      9837,     -49.3
 2016-11-06,      9908,     -49.3
 2016-11-06,     10076,     -50.9
 2016-11-06,     10174,     -51.5
 2016-11-06,     10500,     -53.9
 2016-11-06,     10735,     -56.3
 2016-11-06,     11086,     -58.9
 2016-11-06,     11254,     -57.7
 2016-11-06,     11312,     -58.1
 2016-11-06,     11370,     -56.3
 2016-11-06,     11399,     -56.1
 2016-11-06,     11578,     -54.9
 2016-11-06,     11639,     -55.2
