Lat,Lon,m,t/y
42.737961111,23.241338889,8,0.38
42.662780556,23.388805556,15,0.03
42.662908333,23.388686111,15,0.2
42.662972222,23.388630556,15,0.96
42.663088889,23.389250000,15,1.58
42.732294444,23.317436111,12,1.22
42.821202778,23.368233333,10,0.6
42.722766667,23.322283333,7,0.07
42.722941667,23.321794444,8,0.41
42.658258333,23.360486111,30,0.46
42.745761111,23.329488889,12,0.06
42.701158333,23.417352778,12,0.85
42.712275000,23.258705556,12,1.36
42.696944444,23.536338889,3.5,0.36
42.697725000,23.535569444,10,0.48
42.697708333,23.535577778,6,0.37
42.705663889,23.339688889,48,0.48
42.705619444,23.339416667,48,0.37
42.705608333,23.339719444,48,0.37
42.705658333,23.339805556,48,0.42
42.705708333,23.339769444,48,0.41
42.705680556,23.339744444,48,0.31
42.705494444,23.340080556,48,0.2
42.705480556,23.340047222,37,0.46
42.705461111,23.340033333,37,0.44
42.705427778,23.340002778,37,0.53
42.705402778,23.339986111,37,0.38
42.705377778,23.339958333,37,0.68
42.705869444,23.339161111,37,0.46
42.705936111,23.339180556,30,0.47
42.706233333,23.338383333,30,0.11
42.706450000,23.338305556,30,0.25
42.706313889,23.338558333,30,0.11
42.706052778,23.338797222,30,0.12
42.706041667,23.338900000,30,0.15
42.706008333,23.339005556,30,0.11
42.705944444,23.339075000,30,0.13
42.705908333,23.339127778,30,0.26
42.705950000,23.339233333,40,0.04
42.706269444,23.339583333,40,0.9
42.706358333,23.339452778,40,0.26
42.706402778,23.339358333,40,0.37
42.704702778,23.339716667,40,0.27
42.750272222,23.492075000,8,1.26
42.750116667,23.492352778,8,1.11
42.749844444,23.492252778,8,0.01
42.657861111,23.418016667,25,1.48
42.654833333,23.419241667,15,0.88
42.654794444,23.419383333,15,0.21
42.656633333,23.418802778,60,0.63
42.656255556,23.417763889,21,2.03
42.656561111,23.417430556,18,2.12
42.658316667,23.417936111,21,0.09
42.658400000,23.417775000,21,0.08
42.657213889,23.418250000,21,0.05
42.658111111,23.418605556,22,0.04
42.656858333,23.418847222,25,5.36
42.720875000,23.440108333,15,0.41
42.719816667,23.323886111,120,1.74
42.720444444,23.324311111,120,6.52
42.652711111,23.417675000,125,7.09
42.651477778,23.417438889,125,4.35
42.819575000,23.362361111,8,6.96
42.730686111,23.328152778,35,1.15
42.730794444,23.328675000,8,1.81
42.730927778,23.328347222,12,0.18
42.749522222,23.253341667,120,2.68
42.749286111,23.253186111,15,0.1
42.749411111,23.253158333,15,0.21
42.764400000,23.437750000,12,1.21
42.764344444,23.437822222,4,0.29
