Date,STA-BG0052A,STA-BG0050A,STA-BG0073A,STA-BG0040A,district_BG0040A,district_BG0050A,district_BG0052A,district_BG0073A,Lat_BG0040A,Lat_BG0050A,Lat_BG0052A,Long_BG0040A,Long_BG0050A,Long_BG0052A,Long_BG0073A
2016-11-01,692.88,823.44,624,876.24,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-02,1632.96,1756.56,1516.56,2382.288,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-03,953.28,978.48,1086,680.736,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-04,545.52,631.44,888.24,613.2,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-05,1420.08,1664.4,1617.12,1608.48,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-06,1231.92,1361.76,1357.44,1509.12,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-07,666.96,426.72,445.44,923.04,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-08,828.96,738.24,774.48,1058.856,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-09,261.6,178.08,244.56,310.8,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-10,670.08,670.8,1010.16,700.32,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-11,1303.92,1034.88,1060.32,1238.256,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-12,512.64,382.56,473.28,409.656,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-13,281.28,276.48,274.8,277.512,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-14,486.24,529.44,538.08,420.024,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-15,642.48,741.36,685.68,529.104,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-16,1359.6,1944,2202.72,1502.64,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-17,1811.52,3300,2566.08,2689.44,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-18,2285.52,3139.44,2461.68,3435.12,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-19,1639.2,2085.36,2249.28,3463.752,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
2016-11-20,1953.36,2907.36,3072.24,3246.504,Nadezhda,Hipodruma,Druzhba,IAOS/Pavlovo,23.310972,23.296786,23.268403,42.732292,42.680558,42.666508,42.669797
